City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Touros,BR,2021-10-10 19:58:49,-5.1989,-35.4608,85.1,69,27,12.75
1,Yellowknife,CA,2021-10-10 19:58:49,62.456,-114.3525,38.41,99,90,11.5
2,Rikitea,PF,2021-10-10 19:58:50,-23.1203,-134.9692,74.64,81,95,18.81
3,Bloemfontein,ZA,2021-10-10 19:58:50,-29.1211,26.214,60.28,41,0,9.22
4,Morant Bay,JM,2021-10-10 19:58:50,17.8815,-76.4093,87.62,65,26,6.67
5,Mekhe,SN,2021-10-10 19:58:51,15.1097,-16.6218,89.42,71,10,11.99
6,Barrow,US,2021-10-10 19:54:42,71.2906,-156.7887,28.42,74,75,9.22
7,Atuona,PF,2021-10-10 19:58:51,-9.8,-139.0333,78.28,77,48,19.26
8,Egvekinot,RU,2021-10-10 19:58:51,66.3167,-179.1667,18.91,87,99,8.66
9,Vaini,TO,2021-10-10 19:57:38,-21.2,-175.2,71.76,100,90,2.3
10,Lompoc,US,2021-10-10 19:58:52,34.6391,-120.4579,85.1,50,0,5.01
11,Hilo,US,2021-10-10 19:58:10,19.7297,-155.09,77.29,88,90,5.75
12,The Valley,AI,2021-10-10 19:58:52,18.217,-63.0578,83.82,89,75,16.11
13,Chokurdakh,RU,2021-10-10 19:58:53,70.6333,147.9167,16.18,90,100,5.7
14,Lebu,CL,2021-10-10 19:57:14,-37.6167,-73.65,55.54,72,17,10.78
15,Puerto Ayora,EC,2021-10-10 19:58:53,-0.7393,-90.3518,78.76,81,66,7.0
16,Ushuaia,AR,2021-10-10 19:57:00,-54.8,-68.3,51.46,32,20,26.46
17,Bandarbeyla,SO,2021-10-10 19:58:53,9.4942,50.8122,79.72,85,98,19.93
18,Aksu,CN,2021-10-10 19:58:54,41.1231,80.2644,50.22,25,100,0.96
19,Victoria,HK,2021-10-10 19:57:30,22.2855,114.1577,81.25,90,100,8.01
20,Dunedin,NZ,2021-10-10 19:58:54,-45.8742,170.5036,53.92,68,100,2.98
21,Esperance,AU,2021-10-10 19:57:46,-33.8667,121.9,53.44,47,100,20.62
22,Ponta Do Sol,PT,2021-10-10 19:58:55,32.6667,-17.1,73.0,72,19,4.25
23,Caxias,PT,2021-10-10 19:58:55,38.7031,-9.2767,71.47,61,0,1.01
24,Mataura,NZ,2021-10-10 19:58:55,-46.1927,168.8643,48.47,83,100,2.13
25,Busselton,AU,2021-10-10 19:58:56,-33.65,115.3333,54.05,75,94,14.54
26,Punta Arenas,CL,2021-10-10 19:56:02,-53.15,-70.9167,53.71,35,20,34.52
27,Bystryy Istok,RU,2021-10-10 19:58:56,52.371,84.3873,44.83,65,100,4.32
28,Santa Cruz,BO,2021-10-10 19:58:56,-17.8,-63.1667,96.26,49,75,13.8
29,Chuy,UY,2021-10-10 19:57:15,-33.6971,-53.4616,61.84,76,93,15.9
30,Kapaa,US,2021-10-10 19:58:57,22.0752,-159.319,78.19,70,22,7.0
31,Cape Town,ZA,2021-10-10 19:55:09,-33.9258,18.4232,65.12,65,0,4.61
